data,ano,mes,receita_vendas,receita_servicos,despesa_salarios,despesa_aluguel,despesa_marketing,despesa_operacional,investimento_equipamentos,resultado_liquido
1994-01-31,1994,1,31669.71,9500.91,14318.18,3579.55,2386.36,3579.55,0.0,17306.99
1994-02-28,1994,2,47931.19,14379.36,21713.47,5428.37,3618.91,10191.42,0.0,21358.37
1994-03-31,1994,3,58601.33,17580.4,24740.22,6185.06,4123.37,10365.26,0.0,30767.82
1994-04-30,1994,4,64705.28,19411.58,29221.89,7305.47,4870.32,7305.47,0.0,35413.71
1994-05-31,1994,5,57560.09,17268.03,27016.57,6754.14,4502.76,8845.75,0.0,27708.89
1994-06-30,1994,6,48721.08,14616.32,23098.1,5774.53,3849.68,5774.53,25592.02,-751.45
1994-07-31,1994,7,54401.62,16320.48,24435.05,6108.76,4072.51,6786.37,38563.94,-9244.54
1994-08-31,1994,8,47462.47,14238.74,21943.78,5485.94,3657.3,5485.94,0.0,25128.26
1994-09-30,1994,9,55812.77,16743.83,23644.61,5911.15,3940.77,5911.15,24673.64,8475.28
1994-10-31,1994,10,60257.74,18077.32,28865.26,7216.32,4810.88,7216.32,0.0,30226.29
1994-11-30,1994,11,72010.96,21603.29,32747.39,8186.85,5457.9,8186.85,35672.51,3362.77
1994-12-31,1994,12,53821.92,16146.58,24346.73,6086.68,4057.79,6086.68,0.0,29390.61
1995-01-31,1995,1,53068.58,15920.57,24368.5,6092.12,4061.42,6092.12,18764.66,9610.33
1995-02-28,1995,2,40509.83,12152.95,17973.47,4493.37,2995.58,4493.37,0.0,22707.0
1995-03-31,1995,3,63097.07,18929.12,28265.66,7066.41,4710.94,7066.41,0.0,34916.76
1995-04-30,1995,4,58758.79,17627.64,26553.85,6638.46,4425.64,6638.46,0.0,32130.01
1995-05-31,1995,5,62707.42,18812.23,30055.22,7513.81,5009.2,7513.81,0.0,31427.61
1995-06-30,1995,6,68898.49,20669.55,29162.63,7290.66,4860.44,7290.66,0.0,40963.65
1995-07-31,1995,7,45782.25,13734.67,20226.27,5056.57,3371.05,5056.57,0.0,25806.47
1995-08-31,1995,8,64837.62,19451.28,29243.02,7310.76,4873.84,7997.74,0.0,34863.54
1995-09-30,1995,9,53157.38,15947.21,24969.55,6242.39,4161.59,6242.39,0.0,27488.68
1995-10-31,1995,10,68538.4,20561.52,31658.59,7914.65,5276.43,7914.65,0.0,36335.61
1995-11-30,1995,11,57049.45,17114.84,25070.59,6267.65,4178.43,6267.65,0.0,32379.96
1995-12-31,1995,12,78860.31,23658.09,37582.28,9395.57,6263.71,9395.57,0.0,39881.26
1996-01-31,1996,1,46956.04,14086.81,20618.37,5154.59,3436.39,5154.59,0.0,26678.9
1996-02-29,1996,2,50854.18,15256.26,21837.37,5459.34,3639.56,5459.34,14909.44,14805.39
1996-03-31,1996,3,70583.68,21175.1,31577.52,7894.38,5262.92,7894.38,0.0,39129.59
1996-04-30,1996,4,54870.98,16461.29,25565.17,6391.29,4260.86,6391.29,0.0,28723.66
1996-05-31,1996,5,67274.38,20182.31,28948.14,7237.04,4824.69,9088.42,0.0,37358.39
1996-06-30,1996,6,48588.23,14576.47,21961.4,5490.35,3660.23,5490.35,0.0,26562.36
1996-07-31,1996,7,50957.68,15287.3,23559.49,5889.87,3926.58,5889.87,0.0,26979.15
1996-08-31,1996,8,57907.58,17372.27,25020.88,6255.22,4170.15,6255.22,0.0,33578.38
1996-09-30,1996,9,54029.69,16208.91,23525.71,5881.43,3920.95,10733.5,0.0,26177.0
1996-10-31,1996,10,63098.97,18929.69,29033.5,7258.38,4838.92,7272.82,0.0,33625.04
1996-11-30,1996,11,70622.98,21186.89,30068.97,7517.24,5011.5,7517.24,0.0,41694.92
1996-12-31,1996,12,81584.25,24475.27,38277.35,9569.34,6379.56,11207.5,0.0,40625.78
1997-01-31,1997,1,59785.62,17935.68,27164.87,6791.22,4527.48,6791.22,0.0,32446.52
1997-02-28,1997,2,45246.12,13573.83,20295.22,5073.81,3382.54,6968.34,0.0,23100.04
1997-03-31,1997,3,69234.85,20770.46,32567.25,8141.81,5427.87,8141.81,0.0,35726.56
1997-04-30,1997,4,60599.29,18179.79,25906.27,6476.57,4317.71,6476.57,0.0,35601.96
1997-05-31,1997,5,63771.93,19131.58,29845.11,7461.28,4974.19,7916.52,0.0,32706.41
1997-06-30,1997,6,62695.28,18808.58,26557.32,6639.33,4426.22,6639.33,0.0,37241.66
1997-07-31,1997,7,66164.08,19849.22,30088.8,7522.2,5014.8,10171.58,0.0,33215.92
1997-08-31,1997,8,68043.86,20413.16,29753.51,7438.38,4958.92,7438.38,0.0,38867.84
1997-09-30,1997,9,52702.71,15810.81,22775.57,5693.89,3795.93,10386.32,0.0,25861.81
1997-10-31,1997,10,73182.7,21954.81,32108.97,8027.24,5351.49,8027.24,0.0,41622.57
1997-11-30,1997,11,85376.36,25612.91,39577.47,9894.37,6596.24,9894.37,0.0,45026.82
1997-12-31,1997,12,73707.66,22112.3,33274.14,8318.53,5545.69,8318.53,0.0,40363.06
1998-01-31,1998,1,54149.36,16244.81,24948.96,6237.24,4158.16,6237.24,0.0,28812.57
1998-02-28,1998,2,63372.56,19011.77,27045.15,6761.29,4507.53,6761.29,0.0,37309.08
1998-03-31,1998,3,57967.99,17390.4,27028.81,6757.2,4504.8,6757.2,0.0,30310.37
1998-04-30,1998,4,78813.82,23644.15,34319.85,8579.96,5719.98,8579.96,0.0,45258.21
1998-05-31,1998,5,64180.0,19254.0,27334.89,6833.72,4555.81,6833.72,44789.04,-6913.18
1998-06-30,1998,6,61599.6,18479.88,28535.3,7133.82,4755.88,7133.82,0.0,32520.65
1998-07-31,1998,7,72252.87,21675.86,31448.62,7862.16,5241.44,10911.65,0.0,38464.87
1998-08-31,1998,8,77369.72,23210.92,34669.55,8667.39,5778.26,12525.27,0.0,38940.17
1998-09-30,1998,9,60274.25,18082.27,26073.5,6518.38,4345.58,6518.38,0.0,34900.68
1998-10-31,1998,10,69298.24,20789.47,33220.5,8305.13,5536.75,8305.13,48577.44,-13857.23
1998-11-30,1998,11,69200.77,20760.23,31106.58,7776.65,5184.43,7776.65,35387.48,2729.21
1998-12-31,1998,12,91758.66,27527.6,40247.3,10061.83,6707.88,13594.37,0.0,48674.87
1999-01-31,1999,1,69204.86,20761.46,32761.42,8190.36,5460.24,8190.36,0.0,35363.95
1999-02-28,1999,2,60176.13,18052.84,27132.61,6783.15,4522.1,6783.15,0.0,33007.96
1999-03-31,1999,3,74726.74,22418.02,34435.51,8608.88,5739.25,8608.88,26510.07,13242.17
1999-04-30,1999,4,69927.49,20978.25,29863.35,7465.84,4977.23,8727.2,0.0,39872.12
1999-05-31,1999,5,79237.79,23771.34,33580.99,8395.25,5596.83,8395.25,0.0,47040.81
1999-06-30,1999,6,63895.59,19168.68,27162.02,6790.51,4527.0,6790.51,0.0,37794.23
1999-07-31,1999,7,73884.24,22165.27,32892.33,8223.08,5482.05,8223.08,0.0,41228.97
1999-08-31,1999,8,63340.85,19002.25,28701.66,7175.41,4783.61,7175.41,0.0,34507.01
1999-09-30,1999,9,72564.08,21769.23,33001.49,8250.37,5500.25,8250.37,0.0,39330.83
1999-10-31,1999,10,75199.3,22559.79,35393.42,8848.36,5898.9,8848.36,0.0,38770.06
1999-11-30,1999,11,85062.13,25518.64,38877.23,9719.31,6479.54,9719.31,0.0,45785.38
1999-12-31,1999,12,75757.49,22727.25,31884.86,7971.22,5314.14,7971.22,0.0,45343.3
2000-01-31,2000,1,71500.86,21450.26,32026.39,8006.6,5337.73,8006.6,0.0,39573.81
2000-02-29,2000,2,59253.3,17775.99,28038.43,7009.61,4673.07,7009.61,0.0,30298.57
2000-03-31,2000,3,72146.12,21643.83,32304.91,8076.23,5384.15,8076.23,0.0,39948.43
2000-04-30,2000,4,81151.92,24345.58,38849.3,9712.33,6474.88,9712.33,0.0,40748.66
2000-05-31,2000,5,85688.84,25706.65,40312.55,10078.14,6718.76,10078.14,0.0,44207.91
2000-06-30,2000,6,64574.01,19372.2,29475.52,7368.88,4912.59,7368.88,0.0,34820.35
2000-07-31,2000,7,75358.95,22607.68,31951.8,7987.95,5325.3,7987.95,0.0,44713.63
2000-08-31,2000,8,87136.88,26141.06,36673.67,9168.42,6112.28,12233.02,0.0,49090.55
2000-09-30,2000,9,69715.77,20914.73,31998.96,7999.74,5333.16,12720.86,0.0,32577.78
2000-10-31,2000,10,68048.75,20414.63,30883.51,7720.88,5147.25,8040.07,0.0,36671.67
